starttime,start station latitude,start station longitude,end station latitude,end station longitude,gender
6/30/14 8:02,40.74475148,-73.99915362,40.74395411,-73.99144871,0
6/30/14 8:02,40.76020258,-73.96478473,40.70122128,-74.01234218,1
6/30/14 8:02,40.74395411,-73.99144871,40.72456089,-73.99565293,1
6/30/14 8:02,40.73587678,-73.98205027,40.72743423,-73.99379025,1
6/30/14 8:02,40.72873888,-74.00748842,40.71291224,-74.01020234,1
6/30/14 8:02,40.74334935,-74.00681753,40.74177603,-74.00149746,2
6/30/14 8:02,40.7575699,-73.99098507,40.76228826,-73.98336183,1
6/30/14 8:02,40.71260486,-73.96264403,40.72456089,-73.99565293,2
6/30/14 8:02,40.7457121,-73.98194829,40.74395411,-73.99144871,1
6/30/14 8:02,40.7568001,-73.98291153,40.75714758,-73.97207836,1
6/30/14 8:02,40.7489006,-73.97604882,40.74854862,-73.98808416,1
6/30/14 8:02,40.70355377,-74.00670227,40.70463334,-74.01361706,1
6/30/14 8:02,40.72710258,-74.00297088,40.74901271,-73.98848395,1
6/30/14 8:02,40.7489006,-73.97604882,40.75513557,-73.98658032,1
6/30/14 8:02,40.70255088,-73.98940236,40.69788349,-73.97350332,1
6/30/14 8:02,40.768254,-73.988639,40.761628,-73.972924,1
6/30/14 8:03,40.72580614,-73.97422494,40.73331967,-73.99510132,2
6/30/14 8:03,40.752141,-73.979782,40.76030096,-73.99884222,1
6/30/14 8:03,40.76030096,-73.99884222,40.74173969,-73.99415556,1
6/30/14 8:03,40.72043411,-74.01020609,40.74147286,-73.98320928,1
6/30/14 8:03,40.72955361,-73.98057249,40.73454567,-73.99074142,2
6/30/14 8:03,40.69512845,-73.99595065,40.70122128,-74.01234218,1
6/30/14 8:03,40.74475148,-73.99915362,40.75500254,-73.98014437,1
6/30/14 8:03,40.73221853,-73.98165557,40.76695317,-73.98169333,1
6/30/14 8:03,40.768254,-73.988639,40.75172632,-73.98753523,2
6/30/14 8:03,40.739323,-74.008119,40.71542197,-74.01121978,1
6/30/14 8:03,40.7568001,-73.98291153,40.75828065,-73.97069431,1
6/30/14 8:03,40.751551,-73.993934,40.752141,-73.979782,1
6/30/14 8:03,40.73649403,-73.99704374,40.7597108,-73.97402311,2
6/30/14 8:03,40.72019576,-73.98997825,40.75323098,-73.97032517,1
6/30/14 8:03,40.752416,-73.97837,40.74444921,-73.98303529,1
6/30/14 8:03,40.70834698,-74.01713445,40.71893904,-73.99266288,1
6/30/14 8:03,40.74334935,-74.00681753,40.73901691,-74.00263761,1
6/30/14 8:03,40.74147286,-73.98320928,40.7606597,-73.98042047,1
6/30/14 8:03,40.75206231,-73.9816324,40.7597108,-73.97402311,1
6/30/14 8:03,40.71622644,-73.98261206,40.752416,-73.97837,2
6/30/14 8:03,40.74290902,-73.97706058,40.75714758,-73.97207836,1
6/30/14 8:03,40.69512845,-73.99595065,40.69246277,-73.98963911,1
6/30/14 8:03,40.76227205,-73.98788205,40.73649403,-73.99704374,1
6/30/14 8:03,40.739323,-74.008119,40.70834698,-74.01713445,1
6/30/14 8:03,40.76590936,-73.97634151,40.7643971,-73.97371465,0
6/30/14 8:03,40.72019576,-73.98997825,40.73172428,-74.00674436,1
6/30/14 8:03,40.71406667,-73.99293911,40.7172274,-73.98802084,1
6/30/14 8:03,40.73524276,-73.98758561,40.73172428,-74.00674436,1
6/30/14 8:03,40.75038009,-73.98338988,40.75038009,-73.98338988,1
6/30/14 8:03,40.73912601,-73.97973776,40.722055,-73.989111,0
6/30/14 8:03,40.69221589,-73.9842844,40.69597683,-73.99014892,1
6/30/14 8:03,40.71748752,-74.0104554,40.73314259,-73.97573881,2
6/30/14 8:03,40.76340613,-73.97722479,40.75038009,-73.98338988,1
6/30/14 8:03,40.71450451,-74.00562789,40.71911552,-74.00666661,1
6/30/14 8:03,40.76344058,-73.98268129,40.76669671,-73.99061728,2
6/30/14 8:03,40.73935542,-73.99931783,40.75044999,-73.99481051,1
6/30/14 8:03,40.7047177,-74.00926027,40.70463334,-74.01361706,2
6/30/14 8:03,40.76590936,-73.97634151,40.7643971,-73.97371465,0
6/30/14 8:03,40.75849116,-73.95920622,40.72710258,-74.00297088,1
6/30/14 8:04,40.71542197,-74.01121978,40.70823502,-74.00530063,1
6/30/14 8:04,40.73652889,-74.00618026,40.73172428,-74.00674436,1
6/30/14 8:04,40.70706456,-74.00731853,40.71542197,-74.01121978,2
6/30/14 8:04,40.711512,-74.015756,40.70463334,-74.01361706,1
6/30/14 8:04,40.73049393,-73.9957214,40.711512,-74.015756,2
6/30/14 8:04,40.74315566,-73.97434726,40.7457121,-73.98194829,1
6/30/14 8:04,40.7568001,-73.98291153,40.75255434,-73.97282625,1
6/30/14 8:04,40.72955361,-73.98057249,40.73454567,-73.99074142,1
6/30/14 8:04,40.75320159,-73.9779874,40.73047309,-73.98672378,1
6/30/14 8:04,40.768254,-73.988639,40.75466591,-73.99138152,1
6/30/14 8:04,40.770513,-73.988038,40.71748752,-74.0104554,2
6/30/14 8:04,40.771522,-73.990541,40.70355377,-74.00670227,1
6/30/14 8:04,40.749156,-73.9916,40.74395411,-73.99144871,1
6/30/14 8:04,40.72953837,-73.98426726,40.72740794,-73.98142006,2
6/30/14 8:04,40.70955958,-74.00653609,40.71291224,-74.01020234,1
6/30/14 8:04,40.76064679,-73.98442659,40.75828065,-73.97069431,1
6/30/14 8:04,40.73221853,-73.98165557,40.75828065,-73.97069431,1
6/30/14 8:04,40.711512,-74.015756,40.70463334,-74.01361706,1
6/30/14 8:04,40.72953837,-73.98426726,40.73454567,-73.99074142,1
6/30/14 8:04,40.69573398,-73.97129668,40.695065,-73.987167,1
6/30/14 8:04,40.74765947,-73.98490707,40.75001986,-73.96905301,1
6/30/14 8:04,40.73652889,-74.00618026,40.73726186,-73.99238967,1
6/30/14 8:04,40.694528,-73.958089,40.70823502,-74.00530063,1
6/30/14 8:04,40.71427487,-73.98990025,40.744219,-73.97121214,2
6/30/14 8:04,40.73047309,-73.98672378,40.73454567,-73.99074142,1
6/30/14 8:04,40.70955958,-74.00653609,40.72243797,-74.00566443,1
6/30/14 8:04,40.73587678,-73.98205027,40.71336124,-74.00937622,2
6/30/14 8:04,40.72228087,-73.97668709,40.70905623,-74.01043382,2
6/30/14 8:04,40.76341379,-73.99667444,40.71473993,-74.00910627,1
