MonthYear,avgtripduration,trips
Feb2014,874.5198099,224736
March-2014,715.5565487,439117
April-2014,831.7082725,670780
May-2014,880.005415,866117
June-2014,892.2400222,936880
July-2014,860.084055,968842
August-2014,884.4017783,963489
September-2014,898.418623,953887
October-2014,883.6966711,828711
November-2014,791.7219703,529188
December-2014,745.7578489,399069
January-2015,654.3255834,285552
February-2014,649.3832072,196930
